shortCode,hashtags,timestamp
DLil60ZvI3w,"oldmoneyfashion,quietluxury,modamexicana,luxurydesign,couturefashion,fashionluxury,hechoenmexico,luxurylifestyle,ateliermexicano,hautecouture,artesaniademoda,Chanel,LouisVuitton,Cartier,LoroPiana,Balmain,Dior,Fendi,Hermes,TomFord,Givenchy,Valentino,OldMoneyAesthetic,KimKardashianStyle,BillionaireStyle,RichMomEnergy,LuxuryWardrobe,StyleInspo,MillionaireFashion",2025-06-30T21:45:33.000Z
DLil4J1Pibf,"oldmoneyfashion,quietluxury,modamexicana,luxurydesign,couturefashion,fashionluxury,hechoenmexico,luxurylifestyle,ateliermexicano,hautecouture,artesaniademoda,Chanel,LouisVuitton,Cartier,LoroPiana,Balmain,Dior,Fendi,Hermes,TomFord,Givenchy,Valentino,OldMoneyAesthetic,KimKardashianStyle,BillionaireStyle,RichMomEnergy,LuxuryWardrobe,StyleInspo,MillionaireFashion",2025-06-30T21:45:11.000Z
DLil1_dPl_N,"oldmoneyfashion,quietluxury,modamexicana,luxurydesign,couturefashion,fashionluxury,hechoenmexico,luxurylifestyle,ateliermexicano,hautecouture,artesaniademoda,Chanel,LouisVuitton,Cartier,LoroPiana,Balmain,Dior,Fendi,Hermes,TomFord,Givenchy,Valentino,OldMoneyAesthetic,KimKardashianStyle,BillionaireStyle,RichMomEnergy,LuxuryWardrobe,StyleInspo,MillionaireFashion",2025-06-30T21:44:53.000Z
DLiitrot-Mo,"dolchegabbana,peserico,maxmara,twinset,italia,fendi",2025-06-30T21:17:32.000Z
DLiicJao5M3,,2025-06-30T21:15:09.000Z
DLihj_rMsaU,"khloesluxurycloset,canadagoose,designer,reseller,luxury,clothing,vinted,fyp,viralvideos,newbusiness,khloes9ct,gucci,louisvuitton,dior,fendi,moncler,burberry",2025-06-30T21:07:29.000Z
DLihS3mIb0F,"otticavisionluxuryboutique,outfitoftheday,sunglassesfashion,fendi,fendieyewear,eyewearshop,collection,cool,shopping,summer,cesenatico,fendiroma,fendisunglasses,ff",2025-06-30T21:05:09.000Z
DLigMugMzWv,"khloesluxurycloset,canadagoose,designer,reseller,luxury,clothing,vinted,fyp,viralvideos,newbusiness,khloes9ct,gucci,louisvuitton,dior,fendi,moncler,burberry",2025-06-30T20:55:34.000Z
DLifWAQzv7J,"khloesluxurycloset,canadagoose,designer,reseller,luxury,clothing,vinted,fyp,viralvideos,newbusiness,khloes9ct,gucci,louisvuitton,dior,fendi,moncler,burberry",2025-06-30T20:48:06.000Z
DLifKPMMViD,"vida,cara,angola,amor,luanda,beleza,saude,familia,nike,moda,mulher,filho,tubular,mae,homem,acessorios,roupa,irmao,filha,tudo,pai,melhoramiga,icon,fendi,calcadosu,gucci,puma,converse,jordan",2025-06-30T20:46:29.000Z
